statefips,countyfips,target
-2.175910438129694,0.6014496066689001,2.75
-2.175910438129694,0.6186004304557555,2.86
-2.175910438129694,0.6355524786722138,2.53
-1.7669194596077828,-2.4041020414735232,2.39
-1.7669194596077828,-2.082276702982297,2.52
-1.7669194596077828,-1.86874298697019,2.23
-1.7669194596077828,-1.704660426620146,2.75
-1.7669194596077828,-1.5696752228679625,2.45
-1.7669194596077828,-1.454108971920245,2.39
-1.7669194596077828,-1.352535328459298,2.4
-1.7669194596077828,-1.2615814172353588,2.49
-1.7669194596077828,-1.1789959480865158,2.36
-1.7669194596077828,-1.1031954733446314,2.28
-1.7669194596077828,-1.0330205937810208,2.31
-1.7669194596077828,-0.9675949095089756,2.5
-1.7669194596077828,-0.9062385567533586,2.53
-1.7669194596077828,-0.8484126810366042,2.37
-1.7669194596077828,-0.7936823851984369,2.49
-1.7669194596077828,-0.7416911983902218,2.52
-1.7669194596077828,-0.6921429962693284,2.58
-1.7669194596077828,-0.6447888926618692,2.67
-1.7669194596077828,-0.5994175387152672,2.49
-1.7669194596077828,-0.5558478131536311,2.26
-1.7669194596077828,-0.5139232255614766,2.33
-1.7669194596077828,-0.4735075697184635,2.43
-1.7669194596077828,-0.4344815042830214,2.65
-1.7669194596077828,-0.3967398316991988,2.58
-1.7669194596077828,-0.36018930990811704,2.27
-1.7669194596077828,-0.3247468756213473,2.35
-1.7669194596077828,-0.290338189061288,2.61
-1.7669194596077828,-0.2568964323718745,2.56
-1.7669194596077828,-0.2243613100898303,2.81
-1.7669194596077828,-0.19267821196853815,2.59
-1.7669194596077828,-0.1617975073017256,2.65
-1.7669194596077828,-0.13167394655485581,2.52
-1.7669194596077828,-0.10226615117333404,2.28
-1.7669194596077828,-0.07353617631883969,2.25
-1.7669194596077828,-0.045449134289415924,2.41
-1.7669194596077828,-0.017972868723021947,2.5
-1.7669194596077828,0.008922328472556626,2.52
-1.7669194596077828,0.035263964060709425,2.45
-1.7669194596077828,0.061077559721026665,2.34
-1.7669194596077828,0.08638684209709599,2.43
-1.7669194596077828,0.11121391039132836,2.39
-1.7669194596077828,0.13557938463830435,2.48
-1.7669194596077828,0.15950253728775815,2.7
-1.7669194596077828,0.1830014103175806,2.46
-1.7669194596077828,0.20609291975843996,2.43
